2989.55965	0.0000496985
2985.70216	0.0000388462
2981.84466	0.0000079938
2977.98717	0.0000071416
2974.12967	0.0000362892
2970.27217	0.0001054370
2966.41468	0.0001745850
2962.55718	0.0002437320
2958.69968	0.0002928800
2954.84219	0.0003420270
2950.98469	0.0003811750
2947.12719	0.0003903230
2943.2697	0.0004094700
2939.4122	0.0004686180
2935.55471	0.0005277660
2931.69721	0.0005569130
2927.83971	0.0006060610
2923.98222	0.0006352090
2920.12472	0.0006043560
2916.26722	0.0005935040
2912.40973	0.0006926520
2908.55223	0.0008117990
2904.69474	0.0008309470
2900.83724	0.0007800940
2896.97974	0.0007292420
2893.12225	0.0006983900
2889.26475	0.0006475370
2885.40725	0.0005666850
2881.54976	0.0005158330
2877.69226	0.0005249800
2873.83476	0.0005441280
2869.97727	0.0005332760
2866.11977	0.0004924230
2862.26228	0.0004815710
2858.40478	0.0005207190
2854.54728	0.0005598660
2850.68979	0.0005390140
2846.83229	0.0005081610
2842.97479	0.0004873090
2839.1173	0.0004064570
2835.2598	0.0003156040
2831.40231	0.0002547520
2827.54481	0.0002139000
2823.68731	0.0001430470
2819.82982	0.0000821951
2815.97232	0.0000513427
2812.11482	0.0000304902
2808.25733	0.0000196380
